"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 09 13:29:35 EDT 2024","Thu May 09 13:29:35 EDT 2024","1","","test_TM500","","","","test_step9_update_report_to_database",""
"passed","Thu May 09 13:19:18 EDT 2024","Thu May 09 13:19:50 EDT 2024","31665","","test_TM500","","","","test_step3_open_TMA",""
"passed","Thu May 09 13:19:56 EDT 2024","Thu May 09 13:24:38 EDT 2024","281469","","test_TM500","","","","test_step7_run_campaign_to_end",""
"passed","Thu May 09 13:19:55 EDT 2024","Thu May 09 13:19:55 EDT 2024","2","","test_TM500","","","","test_step5_check_TMA_location",""
"passed","Thu May 09 13:24:38 EDT 2024","Thu May 09 13:29:35 EDT 2024","297579","","test_TM500","","","","test_step8_generate_report_to_end",""
"passed","Thu May 09 13:19:50 EDT 2024","Thu May 09 13:19:55 EDT 2024","5008","","test_TM500","","","","test_step4_check_TMA_status",""
"passed","Thu May 09 13:19:18 EDT 2024","Thu May 09 13:19:18 EDT 2024","210","","test_TM500","","","","test_step2_close_TMA",""
"passed","Thu May 09 13:19:07 EDT 2024","Thu May 09 13:19:18 EDT 2024","11181","","test_TM500","","","","test_step1_command",""
"passed","Thu May 09 13:19:55 EDT 2024","Thu May 09 13:19:56 EDT 2024","1489","","test_TM500","","","","test_step6_schedule_campaign",""
